Segment,Mapping,Annual_Salary,Gender,Education,Living_Region,Age,Online_Consumer,Online_Service_Preference,AI_Endorsement,AI_Privacy_No_Trust ,AI_Enhance_Experience,AI_Satisfication,AI_Tools_Used _Chatbots,AI_Tools_Used_Virtual_Assistant,AI_Tools_Used_Voice&Photo_Search,Number of AI Tools Used,Payment_Method_Credit/Debit,Payment_Method_COD,Payment_Method_Ewallet,Number of Payment Methods Used,Product_Category_Appliances,Product_Category_Electronics,Product_Category_Groceries,Product_Category_Personal_Care,Product_Category_Clothing,Review Rating,Frequency of Purchases (Days),Previous Purchases,Purchase Amount,AI_Tools Applied,Item Purchased,Category,Size,Color,Season,Shipping Type,Frequency of Purchases
Female_Millennials_Metropolitan_Medium High,Female_Millennials,Medium High,Female,University Graduate,Metropolitan,Millennials,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,4.9,14,3,108,Yes,Sunglasses,Accessories,XL,Brown,Spring,Free Shipping,Bi-Weekly
Female_Millennials_Suburban Areas_Medium High,Female_Millennials,Medium High,Female,Masters? Degree,Suburban Areas,Millennials,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,3.9,90,15,42,Yes,T-shirt,Clothing,M,Indigo,Winter,Express,Every 3 Months
Female_Millennials_Metropolitan_Medium,Female_Millennials,Medium,Female,Highschool Graduate,Metropolitan,Millennials,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,2.8,14,21,64.5,Yes,Hoodie,Clothing,S,Gold,Fall,Free Shipping,Bi-Weekly
Female_Millennials_Suburban Areas_Medium High,Female_Millennials,Medium High,Female,University Graduate,Suburban Areas,Millennials,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,3.6,7,4,67.5,Yes,Dress,Clothing,M,Orange,Summer,Store Pickup,Weekly
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,University Graduate,Metropolitan,Millennials,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,4.5,30,20,88.5,Yes,T-shirt,Clothing,L,Olive,Fall,Express,Monthly
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,Doctorate Degree,Metropolitan,Millennials,1,1,1,0,1,1,1,0,1,2,1,1,0,2,1,0,0,0,0,4,30,3,39,Yes,Coat,Outerwear,L,Lavender,Spring,Standard,Monthly
Female_Millennials_Metropolitan_Medium,Female_Millennials,Medium,Female,Highschool Graduate,Metropolitan,Millennials,0,1,1,1,1,1,1,1,0,2,1,0,0,1,1,1,1,1,1,4.2,30,26,145.5,Yes,Sweater,Clothing,M,Yellow,Summer,Express,Monthly
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,University Graduate,Metropolitan,Millennials,1,1,1,0,1,1,1,0,0,1,1,0,1,2,1,1,1,1,1,2.7,30,30,48,Yes,Sunglasses,Accessories,M,Charcoal,Fall,2-Day Shipping,Monthly
Female_Millennials_Suburban Areas_Medium High,Female_Millennials,Medium High,Female,University Graduate,Suburban Areas,Millennials,1,0,1,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,3.8,14,21,106.5,Yes,Boots,Footwear,M,Brown,Spring,Next Day Air,Bi-Weekly
Female_Millennials_Suburban Areas_Medium High,Female_Millennials,Medium High,Female,University Graduate,Suburban Areas,Millennials,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,3.6,30,23,96,Yes,Scarf,Accessories,L,Green,Summer,2-Day Shipping,Monthly
Female_Millennials_Metropolitan_Medium High,Female_Millennials,Medium High,Female,Masters? Degree,Metropolitan,Millennials,1,0,1,1,1,0,1,1,0,2,1,0,1,2,1,1,0,1,1,4.6,14,12,42,Yes,Hoodie,Clothing,M,Yellow,Winter,Store Pickup,Bi-Weekly
Female_Millennials_Suburban Areas_High,Female_Millennials,High,Female,Highschool Graduate,Suburban Areas,Millennials,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,4.4,90,33,135,Yes,Sweater,Clothing,S,Violet,Summer,Standard,Every 3 Months
Female_Millennials_Rural Areas_Medium,Female_Millennials,Medium,Female,University Graduate,Rural Areas,Millennials,1,0,1,1,0,0,1,1,1,3,1,0,1,2,0,0,0,0,1,4.7,14,6,42,Yes,Socks,Clothing,M,Pink,Winter,Express,Bi-Weekly
Female_Millennials_Suburban Areas_Medium High,Female_Millennials,Medium High,Female,University Graduate,Suburban Areas,Millennials,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4.5,360,24,94.5,Yes,Socks,Clothing,M,Black,Spring,Free Shipping,Annually
Female_Millennials_Suburban Areas_High,Female_Millennials,High,Female,Masters? Degree,Suburban Areas,Millennials,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,5,7,4,79.5,Yes,Hoodie,Clothing,L,Pink,Winter,Express,Weekly
Female_Millennials_Suburban Areas_Medium High,Female_Millennials,Medium High,Female,University Graduate,Suburban Areas,Millennials,1,0,1,1,0,1,0,1,0,1,1,1,1,3,0,1,0,1,1,3.8,30,46,130.5,Yes,Jeans,Clothing,L,Teal,Summer,2-Day Shipping,Monthly
Female_Millennials_Suburban Areas_Medium High,Female_Millennials,Medium High,Female,Highschool Graduate,Suburban Areas,Millennials,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,3.4,360,40,54,Yes,Sneakers,Footwear,L,Silver,Summer,Free Shipping,Annually
Female_Millennials_Suburban Areas_High,Female_Millennials,High,Female,University Graduate,Suburban Areas,Millennials,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,3.3,90,35,96,Yes,Dress,Clothing,M,Teal,Spring,Store Pickup,Quarterly
Female_Millennials_Metropolitan_Medium High,Female_Millennials,Medium High,Female,Highschool Graduate,Metropolitan,Millennials,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,1,2.9,90,11,88.5,Yes,Jacket,Outerwear,M,Peach,Fall,Store Pickup,Every 3 Months
Female_Millennials_Suburban Areas_Medium High,Female_Millennials,Medium High,Female,Highschool Graduate,Suburban Areas,Millennials,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,2.7,30,14,44,No,Coat,Outerwear,M,Turquoise,Spring,2-Day Shipping,Monthly
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,University Graduate,Metropolitan,Millennials,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,4.6,7,37,44,No,Gloves,Accessories,XL,Peach,Summer,Free Shipping,Weekly
Female_Millennials_Suburban Areas_Medium High,Female_Millennials,Medium High,Female,University Graduate,Suburban Areas,Millennials,1,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,2.7,90,10,135,Yes,Coat,Outerwear,M,Magenta,Summer,Free Shipping,Every 3 Months
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,Masters? Degree,Metropolitan,Millennials,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,4.9,14,31,61.5,Yes,Hoodie,Clothing,L,Cyan,Summer,Standard,Bi-Weekly
Female_Millennials_Metropolitan_Medium High,Female_Millennials,Medium High,Female,University Graduate,Metropolitan,Millennials,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,3.8,14,1,81,Yes,Backpack,Accessories,M,Gray,Winter,Express,Bi-Weekly
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,Highschool Graduate,Metropolitan,Millennials,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2.8,7,2,35,No,Sweater,Clothing,M,Maroon,Spring,Express,Weekly
Female_Millennials_Metropolitan_Medium High,Female_Millennials,Medium High,Female,Masters? Degree,Metropolitan,Millennials,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,90,36,62,No,T-shirt,Clothing,M,Lavender,Fall,2-Day Shipping,Quarterly
Female_Millennials_Metropolitan_Low,Female_Millennials,Low,Female,Highschool Graduate,Metropolitan,Millennials,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,2.5,14,16,90,No,Gloves,Accessories,XL,Black,Winter,Express,Bi-Weekly
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,Highschool Graduate,Metropolitan,Millennials,1,0,1,0,0,0,1,0,0,1,0,1,1,2,0,0,0,1,1,4,14,38,84,Yes,Boots,Footwear,S,White,Summer,Free Shipping,Bi-Weekly
Female_Millennials_Metropolitan_Medium High,Female_Millennials,Medium High,Female,University Graduate,Metropolitan,Millennials,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,4.8,90,19,99,Yes,Scarf,Accessories,L,Olive,Fall,Standard,Every 3 Months
Female_Millennials_Metropolitan_Medium High,Female_Millennials,Medium High,Female,Highschool Graduate,Metropolitan,Millennials,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,3,30,3,47,No,T-shirt,Clothing,M,Indigo,Summer,Next Day Air,Monthly
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,Highschool Graduate,Metropolitan,Millennials,1,0,1,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,2.9,90,28,66,Yes,Shirt,Clothing,L,Lavender,Summer,Next Day Air,Every 3 Months
Female_Millennials_Metropolitan_Medium High,Female_Millennials,Medium High,Female,Masters? Degree,Metropolitan,Millennials,1,0,1,0,0,1,0,1,1,2,0,1,0,1,0,0,0,0,1,2.7,14,48,67.5,Yes,Shorts,Clothing,M,Brown,Spring,Free Shipping,Fortnightly
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,University Graduate,Metropolitan,Millennials,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,1,0,3.9,360,3,25,No,Backpack,Accessories,M,Violet,Fall,2-Day Shipping,Annually
Female_Millennials_Metropolitan_Medium,Female_Millennials,Medium,Female,Highschool Graduate,Metropolitan,Millennials,1,1,1,1,0,1,1,1,0,2,1,0,0,1,0,1,0,1,1,5,90,34,97.5,Yes,Belt,Accessories,M,Purple,Winter,Standard,Quarterly
Female_Millennials_Suburban Areas_High,Female_Millennials,High,Female,University Graduate,Suburban Areas,Millennials,1,1,1,1,0,0,1,1,0,2,1,0,0,1,0,1,0,1,1,4,14,22,57,Yes,Hat,Accessories,XL,Purple,Fall,Next Day Air,Fortnightly
Female_Millennials_Metropolitan_Medium,Female_Millennials,Medium,Female,Masters? Degree,Metropolitan,Millennials,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,4.4,14,46,52.5,Yes,Boots,Footwear,L,Gray,Summer,2-Day Shipping,Fortnightly
Female_Millennials_Rural Areas_Low,Female_Millennials,Low,Female,Masters? Degree,Rural Areas,Millennials,1,1,0,1,1,1,0,0,0,0,1,1,0,2,0,0,0,0,1,2.9,14,9,81,Yes,Shirt,Clothing,S,Cyan,Winter,Standard,Bi-Weekly
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,University Graduate,Metropolitan,Millennials,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,30,37,108,Yes,Shoes,Footwear,L,Olive,Summer,Standard,Monthly
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,University Graduate,Metropolitan,Millennials,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,30,41,48,Yes,Jewelry,Accessories,S,Brown,Spring,Standard,Monthly
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,University Graduate,Metropolitan,Millennials,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,7,47,99,Yes,Boots,Footwear,L,Gray,Spring,Store Pickup,Weekly
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,University Graduate,Metropolitan,Millennials,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,7,4,127.5,Yes,Sunglasses,Accessories,M,Olive,Winter,Next Day Air,Weekly
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,University Graduate,Metropolitan,Millennials,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,7,3,88.5,Yes,T-shirt,Clothing,M,White,Fall,Free Shipping,Weekly
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,University Graduate,Metropolitan,Millennials,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,30,26,63,Yes,Socks,Clothing,M,Maroon,Fall,Store Pickup,Monthly
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,University Graduate,Metropolitan,Millennials,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,7,30,82.5,Yes,Socks,Clothing,XL,Magenta,Spring,Standard,Weekly
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,Highschool Graduate,Metropolitan,Millennials,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,2.8,30,29,118.5,Yes,Jewelry,Accessories,M,Red,Fall,Store Pickup,Monthly
Female_Millennials_Suburban Areas_Medium High,Female_Millennials,Medium High,Female,Masters? Degree,Suburban Areas,Millennials,1,0,0,1,1,0,1,0,1,2,1,0,0,1,1,1,0,1,1,4.5,7,21,91.5,Yes,Sweater,Clothing,M,Cyan,Spring,Store Pickup,Weekly
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,University Graduate,Metropolitan,Millennials,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,4.3,30,16,72,Yes,Handbag,Accessories,M,Red,Spring,Store Pickup,Monthly
Female_Millennials_Suburban Areas_Medium High,Female_Millennials,Medium High,Female,University Graduate,Suburban Areas,Millennials,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,3.3,14,9,141,Yes,Sandals,Footwear,M,Olive,Fall,Express,Fortnightly
Female_Millennials_Rural Areas_Medium High,Female_Millennials,Medium High,Female,University Graduate,Rural Areas,Millennials,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,4.4,30,4,46.5,Yes,Dress,Clothing,M,Gold,Winter,Free Shipping,Monthly
Female_Millennials_Suburban Areas_High,Female_Millennials,High,Female,Highschool Graduate,Suburban Areas,Millennials,1,1,0,1,1,1,0,0,0,0,1,0,1,2,1,1,1,0,0,2.6,7,18,48,Yes,Blouse,Clothing,M,Violet,Winter,Next Day Air,Weekly
Female_Millennials_Suburban Areas_Medium,Female_Millennials,Medium,Female,Highschool Graduate,Suburban Areas,Millennials,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,3.7,30,18,100.5,Yes,Jacket,Outerwear,XL,Cyan,Spring,2-Day Shipping,Monthly
Female_Millennials_Metropolitan_Medium,Female_Millennials,Medium,Female,Masters? Degree,Metropolitan,Millennials,1,1,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,2.7,14,41,97.5,Yes,Handbag,Accessories,M,Blue,Winter,2-Day Shipping,Fortnightly
Female_Millennials_Rural Areas_Medium,Female_Millennials,Medium,Female,Highschool Graduate,Rural Areas,Millennials,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,3.4,7,19,118.5,Yes,Gloves,Accessories,M,Gold,Fall,2-Day Shipping,Weekly
Female_Millennials_Suburban Areas_Medium,Female_Millennials,Medium,Female,University Graduate,Suburban Areas,Millennials,1,1,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,1,4.2,30,42,126,Yes,Jacket,Outerwear,L,Lavender,Winter,Next Day Air,Monthly
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,University Graduate,Metropolitan,Millennials,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0,1,1,1,1,2.6,14,24,142.5,Yes,Pants,Clothing,L,Blue,Fall,Free Shipping,Fortnightly
Female_Millennials_Suburban Areas_Medium,Female_Millennials,Medium,Female,University Graduate,Suburban Areas,Millennials,1,0,0,1,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,2.6,30,33,121.5,Yes,Shirt,Clothing,XL,Green,Winter,Standard,Monthly
Female_Millennials_Metropolitan_Low,Female_Millennials,Low,Female,University Graduate,Metropolitan,Millennials,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,3.5,14,5,129,Yes,Jewelry,Accessories,L,Indigo,Summer,Standard,Fortnightly
Female_Millennials_Suburban Areas_Medium,Female_Millennials,Medium,Female,University Graduate,Suburban Areas,Millennials,1,1,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,4.1,14,4,118.5,Yes,Boots,Footwear,XL,Pink,Spring,Next Day Air,Fortnightly
Female_Millennials_Suburban Areas_Medium,Female_Millennials,Medium,Female,University Graduate,Suburban Areas,Millennials,1,1,0,1,1,1,1,1,0,2,1,0,0,1,1,1,0,0,1,2.7,30,25,42,Yes,Sandals,Footwear,M,Beige,Fall,Store Pickup,Monthly
Female_Millennials_Suburban Areas_Medium High,Female_Millennials,Medium High,Female,Highschool Graduate,Suburban Areas,Millennials,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,3.1,30,2,43.5,Yes,Shirt,Clothing,L,Silver,Summer,Standard,Monthly
Female_Millennials_Suburban Areas_Low,Female_Millennials,Low,Female,University Graduate,Suburban Areas,Millennials,1,1,0,1,1,1,0,0,0,0,1,0,0,1,1,1,0,1,1,4.5,14,49,46.5,Yes,Jewelry,Accessories,M,Magenta,Fall,2-Day Shipping,Bi-Weekly
Female_Millennials_Metropolitan_Medium High,Female_Millennials,Medium High,Female,University Graduate,Metropolitan,Millennials,1,1,0,1,1,1,1,1,1,3,1,1,0,2,1,1,1,1,1,4.3,30,20,93,Yes,Belt,Accessories,S,Blue,Fall,Next Day Air,Monthly
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,University Graduate,Metropolitan,Millennials,1,1,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,4.9,14,47,45,Yes,Sunglasses,Accessories,S,Peach,Winter,Express,Bi-Weekly
Female_Millennials_Metropolitan_Low,Female_Millennials,Low,Female,University Graduate,Metropolitan,Millennials,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,4.6,30,39,55.5,Yes,Sandals,Footwear,XL,Turquoise,Spring,2-Day Shipping,Monthly
Female_Millennials_Suburban Areas_Medium,Female_Millennials,Medium,Female,University Graduate,Suburban Areas,Millennials,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,3,30,49,78,Yes,Boots,Footwear,M,Brown,Winter,Free Shipping,Monthly
Female_Millennials_Suburban Areas_Medium High,Female_Millennials,Medium High,Female,University Graduate,Suburban Areas,Millennials,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,3.2,14,8,90,Yes,Backpack,Accessories,M,Brown,Fall,2-Day Shipping,Fortnightly
Female_Millennials_Metropolitan_Medium,Female_Millennials,Medium,Female,Highschool Graduate,Metropolitan,Millennials,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2.5,14,31,58,No,Pants,Clothing,XL,Charcoal,Summer,Free Shipping,Fortnightly
Female_Millennials_Suburban Areas_Medium,Female_Millennials,Medium,Female,Masters? Degree,Suburban Areas,Millennials,1,1,0,1,0,1,1,1,0,2,1,0,0,1,1,1,0,0,0,4.2,14,31,82,No,Blouse,Clothing,XL,Beige,Winter,Standard,Bi-Weekly
Female_Millennials_Suburban Areas_Medium High,Female_Millennials,Medium High,Female,Highschool Graduate,Suburban Areas,Millennials,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,4.8,90,46,66,Yes,Boots,Footwear,M,Gray,Summer,2-Day Shipping,Every 3 Months
Male_Baby Boomers_Metropolitan_Medium High,Male_Baby Boomers,Medium High,Male,University Graduate,Metropolitan,Baby Boomers,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,1,0,4.5,14,37,72,Yes,Coat,Outerwear,M,Gold,Winter,Express,Fortnightly
Male_Baby Boomers_Metropolitan_Medium High,Male_Baby Boomers,Medium High,Male,University Graduate,Metropolitan,Baby Boomers,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,4.4,90,13,87,Yes,Jacket,Outerwear,M,Olive,Winter,2-Day Shipping,Every 3 Months
Male_Baby Boomers_Rural Areas_High,Male_Baby Boomers,High,Male,University Graduate,Rural Areas,Baby Boomers,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,1,4.3,90,21,43,Yes,Skirt,Clothing,L,Lavender,Fall,2-Day Shipping,Quarterly
Male_Baby Boomers_Rural Areas_High,Male_Baby Boomers,High,Male,Highschool Graduate,Rural Areas,Baby Boomers,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,1,2.8,90,16,74,Yes,Gloves,Accessories,S,Lavender,Spring,Express,Quarterly
Male_Baby Boomers_Suburban Areas_High,Male_Baby Boomers,High,Male,University Graduate,Suburban Areas,Baby Boomers,1,1,1,0,1,1,1,0,1,2,1,0,1,2,1,1,0,1,1,3.1,7,36,42,Yes,Coat,Outerwear,M,Teal,Summer,Free Shipping,Weekly
Male_Baby Boomers_Metropolitan_Medium High,Male_Baby Boomers,Medium High,Male,University Graduate,Metropolitan,Baby Boomers,1,1,1,1,1,1,0,0,1,1,1,0,1,2,0,1,0,1,1,4.3,14,9,63,Yes,T-shirt,Clothing,L,Gray,Spring,Express,Bi-Weekly
Male_Baby Boomers_Metropolitan_Medium High,Male_Baby Boomers,Medium High,Male,University Graduate,Metropolitan,Baby Boomers,1,1,1,1,1,1,0,0,1,1,0,1,1,2,0,1,1,1,1,3.1,360,8,46,Yes,Shirt,Clothing,L,Yellow,Fall,Free Shipping,Annually
Male_Baby Boomers_Metropolitan_Medium High,Male_Baby Boomers,Medium High,Male,Masters? Degree,Metropolitan,Baby Boomers,1,1,1,1,1,1,0,0,1,1,1,0,1,2,0,1,1,0,1,2.7,90,44,49,Yes,Boots,Footwear,L,Silver,Fall,Free Shipping,Every 3 Months
Male_Baby Boomers_Suburban Areas_Medium High,Male_Baby Boomers,Medium High,Male,Masters? Degree,Suburban Areas,Baby Boomers,1,1,1,1,1,1,1,0,0,1,1,0,1,2,0,1,0,1,1,4.4,90,16,99,Yes,Shoes,Footwear,M,Black,Fall,Standard,Quarterly
Male_Baby Boomers_Metropolitan_Medium High,Male_Baby Boomers,Medium High,Male,Masters? Degree,Metropolitan,Baby Boomers,1,1,1,1,1,1,0,1,0,1,1,1,0,2,1,1,1,1,1,2.6,14,46,51,Yes,Coat,Outerwear,L,Lavender,Fall,Standard,Bi-Weekly
Male_Baby Boomers_Metropolitan_Medium High,Male_Baby Boomers,Medium High,Male,University Graduate,Metropolitan,Baby Boomers,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,4,14,21,94,Yes,Jacket,Outerwear,L,Cyan,Spring,Express,Bi-Weekly
Male_Baby Boomers_Metropolitan_Medium High,Male_Baby Boomers,Medium High,Male,University Graduate,Metropolitan,Baby Boomers,1,1,1,1,1,1,0,0,1,1,0,1,1,2,1,1,1,0,1,4.6,90,40,63,Yes,Scarf,Accessories,XL,Brown,Summer,Free Shipping,Quarterly
Male_Baby Boomers_Metropolitan_High,Male_Baby Boomers,High,Male,Highschool Graduate,Metropolitan,Baby Boomers,1,0,1,1,0,0,0,1,1,2,1,0,0,1,0,1,0,0,0,3.4,360,6,37,No,Shoes,Footwear,M,Olive,Summer,Store Pickup,Annually
Male_Baby Boomers_Metropolitan_Medium High,Male_Baby Boomers,Medium High,Male,Doctorate Degree,Metropolitan,Baby Boomers,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,90,41,23,No,Coat,Outerwear,M,Yellow,Winter,Express,Quarterly
Male_Baby Boomers_Metropolitan_High,Male_Baby Boomers,High,Male,Highschool Graduate,Metropolitan,Baby Boomers,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3.9,7,21,24,Yes,Pants,Clothing,L,Red,Winter,Free Shipping,Weekly
Male_Baby Boomers_Metropolitan_High,Male_Baby Boomers,High,Male,Highschool Graduate,Metropolitan,Baby Boomers,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,3.9,90,23,94,Yes,Shirt,Clothing,M,Violet,Winter,2-Day Shipping,Every 3 Months
Male_Baby Boomers_Suburban Areas_Low,Male_Baby Boomers,Low,Male,University Graduate,Suburban Areas,Baby Boomers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4.4,14,6,58,No,Jeans,Clothing,L,Magenta,Spring,Store Pickup,Fortnightly
Male_Gen X_Rural Areas_Medium High,Male_Gen X,Medium High,Male,University Graduate,Rural Areas,Gen X,1,1,1,1,1,1,0,1,0,1,1,1,1,3,1,1,1,0,0,2.7,360,31,49,Yes,Blouse,Clothing,M,Turquoise,Spring,Free Shipping,Annually
Male_Gen X_Rural Areas_High,Male_Gen X,High,Male,University Graduate,Rural Areas,Gen X,1,1,1,1,1,1,0,0,0,0,1,1,1,3,1,1,1,0,1,4.4,30,49,33,Yes,Coat,Outerwear,L,Gray,Winter,Store Pickup,Monthly
Male_Gen X_Metropolitan_Medium,Male_Gen X,Medium,Male,University Graduate,Metropolitan,Gen X,1,0,1,1,1,1,0,0,0,0,1,0,1,2,0,1,1,0,1,3,14,6,22,Yes,Jacket,Outerwear,L,Teal,Fall,2-Day Shipping,Fortnightly
Male_Gen X_Metropolitan_Medium High,Male_Gen X,Medium High,Male,Masters? Degree,Metropolitan,Gen X,1,0,1,1,1,1,1,1,1,3,1,1,1,3,0,0,0,0,1,4.2,14,21,69,Yes,Sandals,Footwear,S,Cyan,Fall,2-Day Shipping,Bi-Weekly
Male_Gen X_Metropolitan_Medium High,Male_Gen X,Medium High,Male,Masters? Degree,Metropolitan,Gen X,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,2.5,360,10,67,Yes,Backpack,Accessories,M,Beige,Winter,Standard,Annually
Male_Gen X_Metropolitan_High,Male_Gen X,High,Male,Masters? Degree,Metropolitan,Gen X,1,1,1,0,1,1,1,1,0,2,1,0,1,2,0,0,0,0,1,4.6,14,38,93,Yes,Coat,Outerwear,L,Silver,Summer,Store Pickup,Fortnightly
Male_Gen X_Metropolitan_Medium High,Male_Gen X,Medium High,Male,University Graduate,Metropolitan,Gen X,1,1,1,0,1,1,1,1,1,3,0,0,1,1,1,0,1,1,1,3.1,14,5,76,Yes,Hoodie,Clothing,XL,Teal,Spring,Next Day Air,Bi-Weekly
Male_Gen X_Metropolitan_High,Male_Gen X,High,Male,University Graduate,Metropolitan,Gen X,1,1,1,0,1,1,1,0,1,2,0,0,1,1,1,1,1,1,1,2.6,360,41,50,Yes,Jewelry,Accessories,M,Peach,Summer,Next Day Air,Annually
Male_Gen X_Metropolitan_High,Male_Gen X,High,Male,University Graduate,Metropolitan,Gen X,1,1,1,1,1,1,0,1,1,2,0,1,1,2,1,1,1,1,1,3.3,14,39,45,Yes,Pants,Clothing,M,Violet,Summer,Express,Fortnightly
Male_Gen X_Metropolitan_High,Male_Gen X,High,Male,University Graduate,Metropolitan,Gen X,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,4.9,360,9,20,Yes,Hoodie,Clothing,S,Blue,Winter,2-Day Shipping,Annually
Male_Gen X_Metropolitan_Medium High,Male_Gen X,Medium High,Male,Highschool Graduate,Metropolitan,Gen X,1,1,1,0,1,1,1,0,1,2,0,0,1,1,1,1,1,0,1,2.7,14,20,36,Yes,Dress,Clothing,L,Cyan,Fall,2-Day Shipping,Bi-Weekly
